payment_type,profit_per_order,sales_per_customer,category_id,category_name,customer_city,customer_country,customer_id,customer_segment,customer_state,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total_amount,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_name,product_price,shipping_date,shipping_mode,label,late_risk,on_time,day_for_shipping,order_date_count,shipping_date_count
TRANSFER,175.2145,371.98,9.0,Cardio Equipment,New Brunswick,EE. UU.,399.5586,Consumer,CA,92025.164,3.0,Footwear,33.757782,-117.80888,Pacific Asia,Auburn,Turkey,419.99564,2016-04-14,46914.67,191.0,16.0,0.04,118227.2,99.99,0.48,4.0,357.1,378.17902,172.003,West Asia,Istanbul,PROCESSING,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99,2016-09-28,Standard Class,1,1,0,167,11,15
PAYMENT,-97.24257,123.49,18.0,Men's Footwear,Caguas,Puerto Rico,5954.027,Consumer,PR,725.0,4.0,Apparel,18.289625,-66.370605,Europe,Maidenhead,Italy,5667.675,2015-07-19,16167.85,403.0,10.06694,0.09,39681.64,129.99,-0.8,1.0,129.99,120.89,-96.09058,Southern Europe,Acre,PENDING_PAYMENT,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-08-07,Second Class,1,1,0,19,18,23
DEBIT,9.131696,126.22934,18.0,Men's Footwear,Strongsville,EE. UU.,9520.989,Corporate,NY,11371.309,4.0,Apparel,40.72732,-73.90403,LATAM,Fairfield,Cuba,9715.845,2015-05-06,7213.494,403.0,3.0,0.02,18149.004,129.99,0.08,1.0,129.99,127.39,6.831359,Caribbean,Goias,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-06-02,Standard Class,-1,0,1,27,21,15
PAYMENT,-643.0045,378.12772,45.0,Fishing,San Antonio,EE. UU.,10800.014,Consumer,MT,30326.36,7.0,Fan Shop,34.27039,-83.15755,Pacific Asia,Linyi,Turkey,10683.915,2016-06-14,47199.188,1004.0,31.19,0.05,114173.875,399.98,-1.7,1.0,399.98,379.96298,-673.17944,West Asia,Northland,PENDING_PAYMENT,1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2016-10-02,Standard Class,-1,0,1,110,23,16
DEBIT,63.721046,159.94025,17.0,Cleats,Caguas,Puerto Rico,4571.0166,Corporate,PR,725.0,4.0,Apparel,18.288956,-66.370605,USCA,Los Angeles,United States,4427.496,2016-06-29,36209.137,365.0,9.0,0.06,95889.13,59.99,0.41,3.0,179.97,167.37,64.352455,West of USA ,California,COMPLETE,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2016-07-30,Standard Class,0,0,0,31,17,26
DEBIT,63.448017,191.96748,46.0,Indoor/Outdoor Games,Longview,EE. UU.,3908.6047,Corporate,CO,49298.09,7.0,Fan Shop,45.081192,-90.07128,LATAM,San Miguelito,Nicaragua,3759.903,2017-03-04,54762.92,1014.0,2.3173108,0.01,137337.08,49.98,0.34,4.0,199.92,189.99057,56.74875,Central America,Matagalpa,COMPLETE,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2017-03-16,Standard Class,1,1,0,12,27,23
DEBIT,78.71959,411.09225,9.0,Cardio Equipment,Aurora,EE. UU.,1076.6678,Corporate,WI,89057.125,3.0,Footwear,46.524044,-95.286156,LATAM,Oviedo,Argentina,1037.067,2015-04-29,8323.562,191.0,80.0,0.17,20791.06,99.99,0.2,5.0,499.95,404.36014,79.829636,South America,Buenos Aires (province),COMPLETE,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99,2015-05-18,Standard Class,0,0,0,19,23,13
PAYMENT,54.00648,199.99,17.0,Cleats,Lutz,EE. UU.,9911.27,Home Office,CA,92341.58,4.0,Apparel,33.415104,-117.541824,LATAM,Johannesburg,Australia,10030.699,2015-06-26,2990.6736,365.0,42.65803,0.17,7110.2305,59.99,0.27,4.0,239.96,199.17,54.870354,Central America,Gharbia,PENDING_PAYMENT,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2015-09-04,Standard Class,0,0,0,70,22,21
CASH,65.52749,170.07,27.141224,Women's Apparel,Rowland Heights,EE. UU.,5875.9136,Consumer,IL,48691.668,5.0,Golf,41.76409,-88.2864,USCA,Kathmandu,United States,5728.2974,2016-06-29,34390.63,502.0,28.0,0.12,88679.695,39.99,0.35,5.0,199.98,179.97,61.136673,East of USA,Ohio,CLOSED,627.0,29.0,Fighting video games,39.99,2016-10-02,Standard Class,-1,0,1,95,17,16
CASH,-17.500723,87.10036,17.0,Cleats,Harlingen,EE. UU.,11747.014,Consumer,DC,60404.926,4.0,Apparel,39.29745,-95.45213,Europe,Nogent-sur-Oise,France,11771.507,2015-08-11,14067.394,365.0,30.0,0.25,34237.51,59.99,-0.20210451,2.0,119.98,87.96,-15.158615,Western Europe,Guangdong,CLOSED,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2015-08-21,Standard Class,1,1,0,10,25,23
TRANSFER,27.012688,48.39716,29.0,Girls' Apparel,Caguas,Puerto Rico,6636.108,Consumer,PR,725.0,5.0,Golf,18.28072,-66.370575,Europe,Yalova,United Kingdom,6116.484,2015-07-09,11399.338,627.0,8.5,0.16,26346.88,30.0,0.5,2.0,59.994244,48.82628,27.737318,Northern Europe,England,PROCESSING,600.3287,26.0,Nike Men's Deutschland Weltmeister Winners Bl,30.0,2015-09-01,Second Class,1,1,0,54,17,14
DEBIT,35.965538,117.5781,18.0,Men's Footwear,Caguas,Puerto Rico,2147.5417,Consumer,PR,725.0,4.0,Apparel,18.242779,-66.37052,Europe,Cabimas,Germany,2376.3647,2015-05-07,13147.389,403.0,11.7,0.09,32976.438,129.99,0.29,1.0,129.99,117.590744,42.048347,Western Europe,North Rhine-Westphalia,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-06-12,Same Day,1,1,0,36,18,7
TRANSFER,12.721836,107.96965,18.0,Men's Footwear,Caguas,Puerto Rico,1443.7852,Consumer,PR,725.0,4.0,Apparel,18.261477,-66.04541,LATAM,La Romana,Dominican Republic,1695.0342,2015-02-21,5948.1436,403.0,22.1,0.17,15473.638,129.99,0.1,1.0,129.99,108.10421,12.586501,Caribbean,La Romana,PENDING,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-05-11,First Class,1,1,0,79,18,16
CASH,1.0343983,188.9624,48.0,Water Sports,Caguas,Puerto Rico,5563.4614,Corporate,PR,725.0,7.0,Fan Shop,18.228886,-66.37055,LATAM,Henderson,Mexico,5544.73,2015-05-24,9931.881,1073.0,18.0,0.09,23819.11,199.99,-0.03,1.0,199.99,179.99747,2.2897367,Central America,Niamey,CLOSED,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2015-07-23,Second Class,1,1,0,60,12,18
DEBIT,50.298737,99.97171,40.0,Accessories,Caguas,Puerto Rico,1471.9968,Consumer,PR,725.0,6.0,Outdoors,18.270634,-66.043755,Pacific Asia,Kuala Terengganu,India,1484.621,2015-11-02,23991.393,957.0,27.0,0.2,61594.207,24.99,0.47,5.0,124.955215,100.78,52.294857,South Asia,Khartoum,COMPLETE,818.1553,29.0,Web Camera,24.99,2015-11-28,First Class,1,1,0,26,3,11
TRANSFER,30.485455,100.01924,18.0,Men's Footwear,Fountain Valley,EE. UU.,637.97156,Consumer,CA,92345.52,4.0,Apparel,33.647263,-117.6066,LATAM,Tegucigalpa,Honduras,625.2799,2015-06-07,5420.0317,403.0,24.40221,0.2,13992.543,129.99,0.29,1.0,129.99,103.99,28.331846,Central America,Francisco Morazan,PENDING,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-10-05,First Class,1,1,0,120,20,16
DEBIT,180.13777,467.98642,9.0,Cardio Equipment,Portland,EE. UU.,7945.4346,Consumer,CA,92343.36,3.0,Footwear,33.977974,-117.54655,LATAM,Tegucigalpa,Honduras,7846.9736,2017-06-07,55631.71,191.0,36.0,0.07,140931.61,99.99,0.36,5.0,499.95,453.7464,181.57088,Central America,Francisco Morazan,COMPLETE,191.0,9.0,Nike Men's Free 5.0+ Running Shoe,99.99,2017-12-07,Standard Class,1,1,0,183,9,6
DEBIT,91.830925,318.86078,43.0,Camping & Hiking,Caguas,Puerto Rico,3469.785,Consumer,PR,725.0,7.0,Fan Shop,18.257195,-66.370605,USCA,Los Angeles,United States,3284.2234,2016-07-06,33850.09,957.0,4.0,0.01,82865.49,299.98,0.31,1.0,299.98,299.76666,91.1629,South of  USA ,Florida,COMPLETE,957.0,43.0,Diamondback Women's Serene Classic Comfort Bi,299.98,2016-08-31,Second Class,0,0,0,56,24,9
PAYMENT,5.7950664,339.98,45.0,Fishing,Glendale,EE. UU.,4631.5127,Consumer,CA,92068.37,7.0,Fan Shop,33.96105,-118.21321,LATAM,Emden,Mexico,4493.752,2016-11-10,48177.83,1004.0,61.26809,0.16,121975.45,399.98,0.058592774,1.0,399.98,335.98,7.746261,Central America,Auvergne-Rhone-Alpes,PENDING_PAYMENT,1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2017-01-08,Second Class,1,1,0,59,18,9
DEBIT,-204.3779,49.993286,24.0,Women's Apparel,El Monte,EE. UU.,9633.959,Consumer,MI,60608.65,5.0,Golf,42.56625,-84.26904,USCA,Colmar,United States,9997.565,2016-04-10,34532.676,502.0,0.0,0.0,83907.74,50.0,-2.6171517,1.0,50.0,53.974907,-194.97086,West of USA ,Washington,ON_HOLD,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,2016-05-16,Standard Class,0,0,0,36,28,20
DEBIT,-165.23405,118.83246,18.0,Men's Footwear,Caguas,Puerto Rico,908.9587,Consumer,PR,725.0,4.0,Apparel,18.207615,-66.37062,LATAM,Buenos Aires,Argentina,991.02747,2017-01-26,52385.14,403.0,8.0,0.06,132642.83,129.99,-1.6,1.0,129.99,122.15357,-110.35262,South America,Buenos Aires,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2017-03-01,Standard Class,-1,0,1,34,14,8
DEBIT,56.193565,179.99,48.0,Water Sports,Caguas,Puerto Rico,8014.884,Consumer,PR,725.0,7.0,Fan Shop,18.22034,-66.37063,LATAM,London,Peru,7935.0566,2015-03-12,105.9214,1073.0,20.0,0.1,235.91315,199.99,0.33,1.0,199.99,179.99152,57.043663,South America,Ho Chi Minh City,COMPLETE,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2015-05-19,Same Day,1,1,0,68,23,52
TRANSFER,-15.494438,49.200085,17.0,Cleats,Hempstead,EE. UU.,6600.8613,Consumer,CA,92024.3,4.0,Apparel,34.00687,-117.099266,LATAM,Tegucigalpa,Honduras,6570.178,2017-03-17,56359.06,365.0,11.7,0.18,142196.31,59.99,-0.24,1.0,59.99,48.75576,-13.678007,Central America,Francisco Morazan,PENDING,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2017-05-19,Second Class,0,0,0,63,21,25
PAYMENT,45.283573,149.53058,29.0,Shop By Sport,Caguas,Puerto Rico,6442.1978,Consumer,PR,725.0,5.0,Golf,18.282587,-66.370575,Pacific Asia,Caloocan,China,6534.4985,2016-01-29,23401.455,627.0,40.707146,0.2,59375.49,39.99,0.27,5.0,199.98,163.77763,43.550438,Eastern Asia,Paraiba,PENDING_PAYMENT,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99,2016-04-22,First Class,1,1,0,84,10,18
DEBIT,43.980618,159.99,29.0,Shop By Sport,Caguas,Puerto Rico,1281.7817,Home Office,PR,725.0,5.0,Golf,18.268618,-66.02609,LATAM,Mixco,Guatemala,1377.3639,2015-03-13,5086.234,627.0,15.0,0.09,12197.753,39.99,0.29,4.0,179.97,159.90178,39.99752,Central America,Guatemala,COMPLETE,627.0,29.0,Under Armour Girls' Toddler Spine Surge Runni,39.99,2015-03-15,Standard Class,1,1,0,2,18,8
TRANSFER,116.52838,263.98,17.0,Cleats,Virginia Beach,EE. UU.,1967.6588,Consumer,NM,77996.9,4.0,Apparel,34.020775,-111.88028,USCA,Houston,United States,2170.9233,2016-06-03,36184.99,365.0,21.0,0.07,90743.21,59.99,0.45,5.0,299.95,271.97592,114.91186,US Center ,Texas,PENDING,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2016-08-24,Second Class,1,1,0,82,11,12
DEBIT,96.605804,383.22043,45.0,Fishing,Santa Ana,EE. UU.,6862.6313,Home Office,CA,92688.71,7.0,Fan Shop,32.9636,-117.43224,USCA,Reims,United States,6863.1504,2016-02-20,29835.377,1004.0,19.16807,0.05,72977.21,399.98,0.28,1.0,399.98,379.98,108.48276,East of USA,Liguria,COMPLETE,1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2016-03-12,Same Day,1,1,0,21,17,11
DEBIT,41.71055,195.98706,48.0,Water Sports,Caguas,Puerto Rico,23.423738,Home Office,PR,725.0,7.0,Fan Shop,18.258604,-66.043945,Pacific Asia,Wels,Filipinas,33.36731,2015-02-02,23803.604,1073.0,4.0,0.02,60028.773,199.99,0.25,1.0,199.99,196.0,42.54058,Southeast Asia,Al Marqab,COMPLETE,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2015-06-09,Standard Class,-1,0,1,127,9,31
TRANSFER,63.802906,287.9706,43.0,Camping & Hiking,Caguas,Puerto Rico,7828.909,Home Office,PR,725.0,7.0,Fan Shop,18.291302,-66.370544,LATAM,Camaguey,Cuba,7720.049,2017-06-24,55286.023,957.0,7.2,0.02,140022.81,299.98,0.22,1.0,299.98,296.98,67.73196,Caribbean,Camaguey,PENDING,957.0,43.0,Diamondback Women's Serene Classic Comfort Bi,299.98,2017-08-25,Standard Class,-1,0,1,62,25,19
TRANSFER,-341.61166,163.94734,24.0,Women's Apparel,Caguas,Puerto Rico,9276.523,Consumer,PR,725.0,5.0,Golf,18.229263,-66.37056,LATAM,Mirzapur,Peru,9295.933,2017-01-19,52405.258,502.0,2.6,0.02,129349.97,50.0,-1.759714,3.0,150.0,148.44,-331.99606,South America,Zamfara,PROCESSING,502.0,24.0,Nike Men's Dri-FIT Victory Golf Polo,50.0,2017-02-13,Second Class,1,1,0,25,12,19
TRANSFER,5.2975554,185.97636,48.0,Water Sports,Caguas,Puerto Rico,6238.5986,Corporate,PR,725.0,7.0,Fan Shop,18.25911,-66.37051,Europe,Tegucigalpa,Italy,6115.6855,2015-07-27,10245.464,1073.0,8.0,0.04,26244.072,199.99,0.06,1.0,199.99,191.99326,4.1736255,Western Europe,Francisco Morazan,PROCESSING,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2015-08-22,Second Class,1,1,0,26,15,18
DEBIT,30.787241,103.99,18.0,Men's Footwear,Caguas,Puerto Rico,1095.2764,Consumer,PR,725.0,4.0,Apparel,18.201122,-66.37057,Pacific Asia,Bangkok,Thailand,1021.812,2015-08-06,21818.848,403.0,22.632156,0.17,53780.785,129.99,0.29,1.0,129.99,104.21248,28.581306,Southeast Asia,Bangkok,COMPLETE,403.0,18.0,Nike Men's CJ Elite 2 TD Football Cleat,129.99,2015-10-29,Standard Class,-1,0,1,84,10,12
TRANSFER,-29.389004,199.54572,48.0,Water Sports,Federal Way,EE. UU.,1830.4528,Corporate,TX,78581.68,7.0,Fan Shop,29.72069,-98.98998,Pacific Asia,Manila,Filipinas,2111.028,2016-02-12,28770.104,1073.0,2.4,0.01,71319.16,199.99,-0.16,1.0,199.99,197.98474,-34.772823,Southeast Asia,Capital Nacional,PENDING,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2016-05-10,Standard Class,0,0,0,88,5,21
DEBIT,126.45596,293.98,43.0,Camping & Hiking,Caguas,Puerto Rico,7214.6777,Consumer,PR,725.0,7.0,Fan Shop,18.239977,-66.37051,Pacific Asia,Potosi,India,7006.401,2015-11-21,22664.963,957.0,8.4,0.03,59974.234,299.98,0.42,1.0,299.98,287.96716,128.96223,South Asia,Parana,COMPLETE,957.0,45.0,Diamondback Women's Serene Classic Comfort Bi,299.98,2015-11-29,Standard Class,0,0,0,8,13,12
PAYMENT,11.1050005,42.484642,46.0,Indoor/Outdoor Games,Porterville,EE. UU.,11902.945,Consumer,CA,92426.914,7.0,Fan Shop,34.16379,-118.26988,LATAM,Leon,Mexico,11865.962,2017-03-26,57743.266,1014.0,7.0,0.13,144232.58,49.98,0.25,1.0,49.98,42.82639,10.275372,Central America,Guanajuato,PENDING_PAYMENT,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2017-04-01,Standard Class,1,1,0,6,42,18
TRANSFER,90.746445,197.98384,48.0,Water Sports,Los Angeles,EE. UU.,725.07745,Corporate,CA,90006.35,7.0,Fan Shop,33.998188,-118.28127,LATAM,Piedecuesta,Mexico,711.5498,2017-03-17,56450.07,1073.0,3.6,0.02,138663.45,199.99,0.48,1.0,199.99,193.99,87.53163,Central America,Jalisco,PENDING,1073.0,48.0,Pelican Sunstream 100 Kayak,199.99,2017-03-18,Standard Class,-1,0,1,1,21,17
TRANSFER,92.92348,245.98,46.0,Indoor/Outdoor Games,Dearborn,EE. UU.,12188.557,Corporate,IL,60125.86,7.0,Fan Shop,41.89435,-89.08583,Europe,Kayseri,Germany,12143.5625,2017-06-25,63525.92,1014.0,1.8,0.0,158771.69,49.98,0.36,5.0,249.9,248.98,95.97334,Western Europe,North Rhine-Westphalia,PENDING,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2017-09-22,Standard Class,-1,0,1,89,18,23
TRANSFER,19.947884,43.290974,46.0,Indoor/Outdoor Games,Brandon,EE. UU.,2602.1907,Corporate,NJ,33603.39,7.0,Fan Shop,37.591007,-121.89075,Pacific Asia,Lahore,Pakistan,2857.9355,2016-01-15,26224.0,1014.0,7.5,0.15,63691.207,49.98,0.5,1.0,49.98,43.5,15.871987,South Asia,Punjab,PENDING,1014.0,46.0,O'Brien Men's Neoprene Life Vest,49.98,2016-01-21,Standard Class,0,0,0,6,15,19
TRANSFER,78.0191,231.67755,17.0,Cleats,Revere,EE. UU.,3142.7656,Consumer,SC,21176.295,4.0,Apparel,37.385082,-84.31404,Europe,Chimoio,Romania,3317.1804,2016-01-02,64598.395,365.0,6.020314,0.03,159679.8,59.99,0.33,4.0,239.96,235.16,76.868645,Western Europe,Bissau,PROCESSING,365.0,17.0,Perfect Fitness Perfect Rip Deck,59.99,2016-10-09,Standard Class,1,1,0,281,16,13
DEBIT,155.80168,327.98,45.0,Fishing,Caguas,Puerto Rico,5152.1704,Consumer,PR,725.0,7.0,Fan Shop,18.269278,-66.37058,Europe,Hagen,France,5060.7324,2015-09-08,17364.195,1004.0,64.0,0.16,44301.07,399.98,0.47,1.0,399.98,335.98,159.17474,Western Europe,Isle of France,COMPLETE,1004.0,45.0,Field & Stream Sportsman 16 Gun Fire Safe,399.98,2015-10-22,Second Class,1,1,0,44,18,17
